x_value,total_1,total_2
0,1000,1000
1,1001,1005
2,1005,1001
3,999,1005
4,995,1011
5,999,1016
6,1001,1017
7,995,1020
8,1001,1026
9,1003,1029
10,1000,1032
11,994,1029
12,995,1035
13,991,1031
14,994,1031
15,995,1033
16,999,1033
17,1004,1033
18,1001,1031
19,1008,1034
20,1014,1030
21,1008,1036
22,1015,1042
23,1013,1043
24,1019,1043
25,1021,1043
26,1024,1043
27,1025,1044
28,1033,1043
29,1033,1044
30,1041,1045
31,1040,1044
32,1047,1047
33,1047,1042
34,1041,1042
35,1042,1040
36,1041,1046
37,1046,1050
38,1043,1055
39,1047,1051
40,1049,1057
41,1054,1056
42,1057,1052
43,1051,1053
44,1056,1055
45,1063,1050
46,1070,1053
47,1068,1057
48,1064,1059
49,1067,1055
50,1067,1055
51,1065,1058
52,1063,1056
53,1069,1059
54,1069,1056
55,1063,1057
56,1058,1053
57,1059,1057
58,1057,1061
59,1055,1056
60,1056,1059
61,1051,1063
62,1046,1059
63,1054,1059
64,1048,1062
65,1047,1057
66,1054,1058
67,1061,1061
68,1060,1062
69,1061,1062
70,1062,1061
71,1063,1060
72,1064,1058
73,1068,1062
74,1073,1067
75,1077,1067
76,1073,1062
77,1070,1063
78,1067,1058
79,1064,1055
80,1062,1059
81,1070,1054
82,1067,1057
83,1061,1054
84,1066,1060
85,1071,1056
86,1078,1054
87,1081,1056
88,1086,1058
89,1091,1055
90,1093,1055
91,1091,1053
92,1089,1054
93,1096,1049
94,1096,1055
95,1093,1059
96,1093,1062
97,1096,1058
98,1093,1055
99,1088,1058
100,1094,1059
101,1101,1056
102,1100,1056
103,1097,1058
104,1091,1061
105,1094,1060
106,1097,1061
107,1099,1067
108,1101,1073
109,1096,1077
110,1102,1081
111,1103,1077
112,1109,1076
113,1116,1072
114,1113,1077
115,1107,1078
116,1102,1076
117,1107,1080
118,1107,1079
119,1105,1083
120,1111,1083
121,1116,1081
122,1124,1086
123,1119,1085
124,1118,1087
125,1115,1088
126,1123,1093
127,1118,1092
128,1112,1093
129,1118,1099
130,1114,1094
131,1120,1092
132,1125,1098
133,1128,1099
134,1129,1097
135,1127,1101
136,1128,1106
137,1122,1107
138,1125,1102
139,1130,1103
140,1137,1104
141,1135,1107
142,1133,1110
143,1138,1113
144,1142,1109
145,1142,1110
146,1140,1114
147,1135,1120
148,1138,1126
149,1132,1124
150,1140,1120
151,1141,1122
152,1145,1117
153,1143,1119
154,1151,1120
155,1154,1122
156,1155,1124
157,1160,1126
158,1166,1130
159,1168,1131
160,1175,1127
161,1174,1124
162,1181,1127
163,1188,1132
164,1187,1132
165,1181,1137
166,1181,1137
167,1177,1137
168,1181,1137
169,1176,1137
170,1176,1137
171,1180,1141
172,1184,1142
173,1186,1146
174,1192,1148
175,1198,1147
176,1193,1142
177,1192,1137
178,1187,1133
179,1189,1138
180,1192,1135
181,1194,1133
182,1193,1134
183,1199,1135
184,1198,1141
185,1198,1136
186,1206,1139
187,1204,1143
188,1212,1144
189,1220,1148
190,1223,1152
191,1218,1151
192,1212,1148
193,1215,1143
194,1211,1140
195,1208,1138
196,1213,1141
197,1217,1138
198,1225,1140
199,1230,1143
200,1229,1140
201,1231,1138
202,1226,1136
203,1220,1131
204,1227,1137
205,1222,1132
206,1225,1132
207,1226,1134
208,1231,1136
209,1239,1133
210,1243,1131
211,1238,1126
212,1235,1131
213,1243,1132
214,1238,1127
215,1234,1131
216,1234,1135
217,1234,1141
218,1233,1143
219,1236,1141
220,1242,1146
221,1238,1143
222,1236,1142
223,1243,1145
224,1242,1145
225,1240,1141
226,1242,1147
227,1239,1152
228,1239,1151
229,1236,1155
230,1236,1158
231,1244,1154
232,1247,1159
233,1253,1159
234,1252,1158
235,1257,1158
236,1262,1162
237,1256,1158
238,1250,1154
239,1253,1152
240,1255,1150
241,1260,1150
